symbol,date,timing,accession
AAPL,2022-07-28,amc,0000320193-22-000069
AAPL,2022-10-27,amc,0000320193-22-000107
AAPL,2023-02-02,amc,0000320193-23-000005
AAPL,2023-05-04,amc,0000320193-23-000063
AAPL,2023-08-03,amc,0000320193-23-000075
AAPL,2023-11-02,amc,0000320193-23-000104
AAPL,2024-02-01,amc,0000320193-24-000005
AAPL,2024-05-02,amc,0000320193-24-000067
AAPL,2024-08-01,amc,0000320193-24-000080
AAPL,2024-10-31,amc,0000320193-24-000120
AAPL,2025-01-30,amc,0000320193-25-000007
AAPL,2025-05-01,amc,0000320193-25-000055
AAPL,2025-07-31,amc,0000320193-25-000071
AAPL,2025-10-30,amc,0000320193-25-000077
AAPL,2026-01-29,amc,0000320193-26-000005
AAPL,2026-04-30,amc,0000320193-26-000011
AAPL,2026-07-30,amc,0000320193-26-000018
JPM,2022-07-14,bmo,0000019617-22-000410
JPM,2022-10-14,bmo,0000019617-22-000486
JPM,2023-01-13,bmo,0000019617-23-000063
JPM,2023-04-14,bmo,0001628280-23-011546
JPM,2023-07-14,bmo,0000019617-23-000425
JPM,2023-10-13,bmo,0000019617-23-000508
JPM,2024-01-12,bmo,0000019617-24-000049
JPM,2024-04-12,bmo,0000019617-24-000315
JPM,2024-07-12,bmo,0000019617-24-000446
JPM,2024-10-11,bmo,0000019617-24-000555
JPM,2025-01-15,bmo,0000019617-25-000040
JPM,2025-04-11,bmo,0000019617-25-000332
JPM,2025-07-15,bmo,0000019617-25-000518
JPM,2025-10-14,bmo,0001628280-25-044845
JPM,2026-01-13,bmo,0001628280-26-001902
JPM,2026-04-14,bmo,0001628280-26-024990
JPM,2026-07-14,bmo,0001628280-26-048078
MSFT,2022-07-26,amc,0001193125-22-202034
MSFT,2022-10-25,amc,0001193125-22-268356
MSFT,2023-01-24,amc,0001193125-23-014230
MSFT,2023-04-25,amc,0001193125-23-115280
MSFT,2023-07-25,amc,0000950170-23-034400
MSFT,2023-10-24,amc,0000950170-23-054848
MSFT,2024-01-30,amc,0000950170-24-008809
MSFT,2024-04-25,amc,0000950170-24-048268
MSFT,2024-07-30,amc,0000950170-24-087835
MSFT,2024-10-30,amc,0000950170-24-118955
MSFT,2025-01-29,amc,0000950170-25-010484
MSFT,2025-04-30,amc,0000950170-25-061032
MSFT,2025-07-30,amc,0000950170-25-100226
MSFT,2025-10-29,amc,0001193125-25-256310
MSFT,2026-01-28,amc,0001193125-26-027198
MSFT,2026-04-29,amc,0001193125-26-191457
MSFT,2026-07-29,amc,0001193125-26-323632
