symbol,date,timing,accession
AA,2019-07-17,amc,0001157523-19-001534
AA,2019-10-16,amc,0001157523-19-002055
AA,2020-01-15,amc,0001157523-20-000068
AA,2020-04-22,amc,0001157523-20-000560
AA,2020-07-08,bmo,0001193125-20-189207
AA,2020-07-15,amc,0001157523-20-000978
AA,2020-10-14,amc,0001157523-20-001310
AA,2021-01-20,amc,0001157523-21-000061
AA,2021-04-15,amc,0001157523-21-000464
AA,2021-07-15,amc,0001157523-21-000879
AA,2021-10-14,amc,0001157523-21-001202
AA,2022-01-19,amc,0001157523-22-000073
AA,2022-04-20,amc,0001157523-22-000452
AA,2022-07-20,amc,0001157523-22-000874
AA,2022-10-19,amc,0001157523-22-001343
AA,2023-01-18,amc,0001157523-23-000063
AA,2023-04-19,amc,0001157523-23-000580
AA,2023-07-19,amc,0001157523-23-001109
AA,2023-10-18,amc,0001157523-23-001501
AA,2024-01-17,amc,0001157523-24-000066
AA,2024-04-17,amc,0000950170-24-045115
AA,2024-07-10,amc,0000950170-24-082696
AA,2024-07-17,amc,0000950170-24-084275
AA,2024-10-16,amc,0000950170-24-115018
AA,2025-01-22,amc,0000950170-25-007765
AA,2025-04-16,amc,0000950170-25-054726
AA,2025-07-16,amc,0000950170-25-096260
AA,2025-10-22,amc,0001193125-25-246788
AA,2026-01-22,amc,0001193125-26-019438
AA,2026-04-16,amc,0001193125-26-159018
AA,2026-07-16,amc,0001193125-26-306118
AAL,2019-07-25,bmo,0000006201-19-000052
AAL,2019-10-24,bmo,0000006201-19-000066
AAL,2020-01-23,bmo,0000006201-20-000012
AAL,2020-04-30,bmo,0000006201-20-000065
AAL,2020-07-02,intraday,0001193125-20-186122
AAL,2020-07-23,bmo,0000006201-20-000087
AAL,2020-10-22,bmo,0000006201-20-000100
AAL,2021-01-28,bmo,0000006201-21-000005
AAL,2021-04-13,bmo,0000006201-21-000046
AAL,2021-04-22,bmo,0000006201-21-000053
AAL,2021-07-13,amc,0000006201-21-000072
AAL,2021-07-22,bmo,0000006201-21-000078
AAL,2021-10-12,bmo,0000006201-21-000087
AAL,2021-10-21,bmo,0000006201-21-000097
AAL,2022-01-11,bmo,0000006201-22-000004
AAL,2022-01-20,bmo,0000006201-22-000014
AAL,2022-04-12,bmo,0000006201-22-000037
AAL,2022-04-21,bmo,0000006201-22-000044
AAL,2022-07-12,bmo,0000006201-22-000064
AAL,2022-07-21,bmo,0000006201-22-000070
AAL,2022-10-11,bmo,0000006201-22-000078
AAL,2022-10-20,bmo,0000006201-22-000085
AAL,2023-01-26,bmo,0000006201-23-000008
AAL,2023-04-27,bmo,0000006201-23-000041
AAL,2023-07-20,bmo,0000006201-23-000069
AAL,2023-10-19,bmo,0000006201-23-000091
AAL,2024-01-25,bmo,0000006201-24-000005
AAL,2024-04-25,bmo,0000006201-24-000031
AAL,2024-07-25,bmo,0000006201-24-000047
AAL,2024-10-24,bmo,0000006201-24-000059
AAL,2025-01-23,bmo,0000006201-25-000006
AAL,2025-04-24,bmo,0000006201-25-000022
AAL,2025-07-24,bmo,0000006201-25-000037
AAL,2025-10-23,bmo,0000006201-25-000051
AAL,2026-01-27,bmo,0000006201-26-000008
AAL,2026-04-23,bmo,0000006201-26-000031
AAL,2026-07-23,bmo,0000006201-26-000051
ABBV,2019-07-26,bmo,0001551152-19-000021
ABBV,2019-11-01,bmo,0001551152-19-000026
ABBV,2020-02-07,bmo,0001551152-20-000004
ABBV,2020-05-01,bmo,0001551152-20-000010
ABBV,2020-07-29,amc,0001104659-20-087827
ABBV,2020-07-31,bmo,0001551152-20-000019
ABBV,2020-10-30,bmo,0001551152-20-000029
ABBV,2021-02-03,bmo,0001551152-21-000003
ABBV,2021-04-30,bmo,0001551152-21-000013
ABBV,2021-07-30,bmo,0001551152-21-000021
ABBV,2021-10-29,bmo,0001551152-21-000028
ABBV,2022-02-02,bmo,0001551152-22-000003
ABBV,2022-04-21,amc,0001104659-22-048450
ABBV,2022-04-29,bmo,0001551152-22-000010
ABBV,2022-04-29,bmo,0001551152-22-000012
ABBV,2022-07-06,amc,0001551152-22-000023
ABBV,2022-07-29,bmo,0001551152-22-000026
ABBV,2022-10-05,amc,0001551152-22-000034
ABBV,2022-10-28,bmo,0001551152-22-000038
ABBV,2023-01-06,amc,0001551152-23-000004
ABBV,2023-02-09,bmo,0001551152-23-000006
ABBV,2023-04-05,amc,0001551152-23-000015
ABBV,2023-04-27,bmo,0001551152-23-000019
ABBV,2023-07-06,amc,0001551152-23-000026
ABBV,2023-07-27,bmo,0001551152-23-000028
ABBV,2023-10-04,amc,0001551152-23-000036
ABBV,2023-10-27,bmo,0001551152-23-000040
ABBV,2024-01-05,amc,0001551152-24-000002
ABBV,2024-02-02,bmo,0001551152-24-000007
ABBV,2024-04-03,amc,0001551152-24-000013
ABBV,2024-04-26,bmo,0001551152-24-000016
ABBV,2024-07-03,intraday,0001551152-24-000024
ABBV,2024-07-25,bmo,0001551152-24-000026
ABBV,2024-10-03,amc,0001551152-24-000033
ABBV,2024-10-30,bmo,0001551152-24-000036
ABBV,2025-01-06,amc,0001551152-25-000002
ABBV,2025-01-31,bmo,0001551152-25-000011
ABBV,2025-04-03,amc,0001551152-25-000023
ABBV,2025-04-25,bmo,0001551152-25-000026
ABBV,2025-07-03,intraday,0001551152-25-000034
ABBV,2025-07-31,bmo,0001551152-25-000036
ABBV,2025-10-03,amc,0001551152-25-000043
ABBV,2025-10-31,bmo,0001551152-25-000047
ABBV,2026-01-07,amc,0001551152-26-000002
ABBV,2026-02-04,bmo,0001551152-26-000004
ABBV,2026-04-03,amc,0001551152-26-000011
ABBV,2026-04-29,bmo,0001551152-26-000013
ABBV,2026-07-06,amc,0001551152-26-000021
ABBV,2026-07-31,bmo,0001551152-26-000023
ABT,2019-07-17,bmo,0001104659-19-040664
ABT,2019-10-16,bmo,0001104659-19-054283
ABT,2020-01-22,bmo,0001104659-20-005717
ABT,2020-04-16,bmo,0001104659-20-047187
ABT,2020-07-16,bmo,0001104659-20-083929
ABT,2020-10-21,bmo,0001104659-20-116611
ABT,2021-01-27,bmo,0001104659-21-007942
ABT,2021-04-20,bmo,0001104659-21-052205
ABT,2021-07-22,bmo,0001104659-21-094680
ABT,2021-10-20,bmo,0001104659-21-127874
ABT,2022-01-26,bmo,0001104659-22-007648
ABT,2022-04-20,bmo,0001104659-22-047560
ABT,2022-07-20,bmo,0001104659-22-081006
ABT,2022-10-19,bmo,0001628280-22-026588
ABT,2023-01-25,bmo,0001628280-23-001516
ABT,2023-04-19,bmo,0001628280-23-012020
ABT,2023-07-20,bmo,0001628280-23-025156
ABT,2023-10-18,bmo,0001628280-23-034544
ABT,2024-01-24,bmo,0001628280-24-002009
ABT,2024-04-17,bmo,0001628280-24-016497
ABT,2024-07-18,bmo,0001628280-24-032182
ABT,2024-10-16,bmo,0001628280-24-042893
ABT,2025-01-22,bmo,0001628280-25-002092
ABT,2025-04-16,bmo,0001628280-25-017924
ABT,2025-07-17,bmo,0001628280-25-035135
ABT,2025-10-15,bmo,0001628280-25-045049
ABT,2026-01-22,bmo,0001628280-26-002982
ABT,2026-04-16,bmo,0001628280-26-025365
ABT,2026-07-16,bmo,0001628280-26-048377
ADM,2019-08-01,intraday,0000007084-19-000026
ADM,2019-10-31,intraday,0000007084-19-000033
ADM,2020-01-29,amc,0000007084-20-000002
ADM,2020-04-30,intraday,0000007084-20-000013
ADM,2020-07-30,amc,0000007084-20-000022
ADM,2020-10-29,amc,0000007084-20-000035
ADM,2021-01-26,intraday,0000007084-21-000002
ADM,2021-04-27,intraday,0000007084-21-000015
ADM,2021-07-27,intraday,0000007084-21-000028
ADM,2021-10-26,intraday,0000007084-21-000037
ADM,2022-01-25,intraday,0000007084-22-000003
ADM,2022-04-26,intraday,0000007084-22-000011
ADM,2022-07-26,intraday,0000007084-22-000021
ADM,2022-10-25,intraday,0000007084-22-000026
ADM,2023-01-26,intraday,0000007084-23-000004
ADM,2023-04-25,intraday,0000007084-23-000014
ADM,2023-07-25,intraday,0000007084-23-000024
ADM,2023-10-24,intraday,0000007084-23-000037
ADM,2024-01-22,bmo,0001193125-24-011608
ADM,2024-03-12,intraday,0000007084-24-000010
ADM,2024-04-30,intraday,0000007084-24-000015
ADM,2024-07-30,intraday,0000007084-24-000024
ADM,2024-11-05,amc,0000007084-24-000031
ADM,2024-11-18,amc,0000007084-24-000056
ADM,2025-02-04,bmo,0000007084-25-000005
ADM,2025-05-06,bmo,0000007084-25-000020
ADM,2025-08-05,bmo,0000007084-25-000040
ADM,2025-11-04,bmo,0000007084-25-000049
ADM,2026-02-03,bmo,0000007084-26-000005
ADM,2026-05-05,bmo,0000007084-26-000021
ADM,2026-08-04,bmo,0000007084-26-000040
AEO,2019-09-09,amc,0001193125-19-240943
AEO,2019-12-16,amc,0001193125-19-315279
AEO,2020-03-09,amc,0001193125-20-067280
AEO,2020-06-05,amc,0001193125-20-162294
AEO,2020-09-11,amc,0001193125-20-244102
AEO,2020-11-30,amc,0001193125-20-305565
AEO,2021-03-04,amc,0001193125-21-069511
AEO,2021-05-26,amc,0001564590-21-030072
AEO,2021-09-02,intraday,0001564590-21-046843
AEO,2021-11-23,intraday,0001564590-21-057986
AEO,2022-03-02,amc,0000950170-22-002692
AEO,2022-05-26,amc,0000950170-22-010794
AEO,2022-09-07,amc,0000950170-22-018192
AEO,2022-11-22,bmo,0000950170-22-025577
AEO,2023-03-01,amc,0000950170-23-005566
AEO,2023-05-24,amc,0000950170-23-023964
AEO,2023-08-03,amc,0001193125-23-202971
AEO,2023-09-06,amc,0000950170-23-046751
AEO,2023-11-21,amc,0000950170-23-065477
AEO,2024-03-07,bmo,0000950170-24-027615
AEO,2024-05-29,amc,0000950170-24-065962
AEO,2024-08-29,bmo,0000950170-24-101592
AEO,2024-12-04,amc,0000950170-24-133307
AEO,2025-03-12,amc,0000950170-25-038028
AEO,2025-05-13,amc,0000950170-25-070410
AEO,2025-05-29,amc,0000950170-25-079005
AEO,2025-09-03,amc,0000950170-25-112837
AEO,2025-12-02,amc,0001193125-25-305370
AEO,2026-03-04,amc,0001193125-26-091582
AEO,2026-05-28,amc,0001193125-26-245310
AES,2019-08-06,amc,0000874761-19-000051
AES,2019-11-06,bmo,0000874761-19-000060
AES,2020-02-28,bmo,0000874761-20-000014
AES,2020-05-07,bmo,0000874761-20-000031
AES,2020-08-06,bmo,0000874761-20-000053
AES,2020-11-06,bmo,0000874761-20-000068
AES,2021-02-25,bmo,0000874761-21-000017
AES,2021-05-06,bmo,0000874761-21-000040
AES,2021-08-05,amc,0000874761-21-000067
AES,2021-11-03,amc,0000874761-21-000075
AES,2022-05-05,amc,0000874761-22-000045
AES,2022-08-05,bmo,0000874761-22-000067
AES,2022-11-04,bmo,0000874761-22-000076
AES,2023-02-27,bmo,0000874761-23-000004
AES,2023-05-04,amc,0000874761-23-000040
AES,2023-08-03,amc,0000874761-23-000073
AES,2023-11-02,amc,0000874761-23-000082
AES,2024-02-26,amc,0000874761-24-000013
AES,2024-05-02,amc,0000874761-24-000039
AES,2024-08-01,amc,0000874761-24-000056
AES,2024-10-31,amc,0000874761-24-000071
AES,2025-02-28,bmo,0000874761-25-000006
AES,2025-05-01,amc,0000874761-25-000037
AES,2025-08-01,amc,0000874761-25-000071
AES,2025-11-04,amc,0000874761-25-000086
AFL,2019-07-25,amc,0000004977-19-000132
AFL,2019-10-25,amc,0000004977-19-000171
AFL,2020-02-04,amc,0000004977-20-000006
AFL,2020-04-29,amc,0000004977-20-000054
AFL,2020-07-28,amc,0000004977-20-000101
AFL,2020-10-27,amc,0000004977-20-000126
AFL,2021-02-03,amc,0000004977-21-000009
AFL,2021-04-28,amc,0000004977-21-000060
AFL,2021-07-28,amc,0000004977-21-000117
AFL,2021-10-27,amc,0000004977-21-000142
AFL,2022-02-02,amc,0000004977-22-000005
AFL,2022-04-27,amc,0000004977-22-000069
AFL,2022-08-01,amc,0000004977-22-000121
AFL,2022-10-31,amc,0000004977-22-000142
AFL,2023-02-01,amc,0000004977-23-000011
AFL,2023-04-27,amc,0000004977-23-000087
AFL,2023-08-01,amc,0000004977-23-000146
AFL,2023-11-01,amc,0000004977-23-000172
AFL,2024-01-31,amc,0000004977-24-000006
AFL,2024-05-01,amc,0000004977-24-000082
AFL,2024-07-31,amc,0000004977-24-000138
AFL,2024-10-30,amc,0000004977-24-000164
AFL,2025-02-05,amc,0000004977-25-000006
AFL,2025-04-30,amc,0000004977-25-000067
AFL,2025-08-05,amc,0000004977-25-000133
AFL,2025-11-04,amc,0001628280-25-048906
AFL,2026-02-04,amc,0001628280-26-005458
AFL,2026-04-29,amc,0001628280-26-028396
AFL,2026-08-06,amc,0001628280-26-054333
AGNC,2019-07-24,amc,0001423689-19-000043
AGNC,2019-10-30,amc,0001423689-19-000073
AGNC,2020-01-29,amc,0001423689-20-000002
AGNC,2020-04-08,amc,0001423689-20-000035
AGNC,2020-04-29,amc,0001423689-20-000040
AGNC,2020-07-27,amc,0001423689-20-000044
AGNC,2020-10-26,amc,0001423689-20-000049
AGNC,2021-01-25,amc,0001423689-21-000008
AGNC,2021-04-26,amc,0001423689-21-000028
AGNC,2021-07-26,amc,0001423689-21-000061
AGNC,2021-10-25,amc,0001423689-21-000068
